参数,200µs 实际值,400µs 实际值,600µs 实际值,ML 实际值,来源或代码位置,是否随曲线人为变化,合理性判断,对结果可能的影响,本次处理
初始温度 T0,15 µK,15 µK,15 µK,15 µK,configs/continuous_fig6d_unified_T15.yaml:10,否（本次）；历史诊断存在 5/15/25/25 逐曲线扫描选择,A（历史逐曲线拟合参数）+任务指定基线（本次）,主导早期损失率与整条曲线衰减速度,统一固定 15 µK 不再调整
初始化方式,site_bound_harmonic_3d_v1,同左,同左,同左,src/continuous_transfer/initialization.py:25,否,共同方法（D：谐振提议近似制备非有限深度正则系综）,修复前名义阱深提议在浅位点混入未束缚原子（T=25 归档 50/4096）高估早期损失,全部采用修复版；初始未束缚=0 已验证
各方向初态分布,3D 各向同性 σr∝实际阱深 σz σv(T0),同左,同左,同左,initialization.py:38-41,否,共同（D：各向同性假设）,决定初始相空间体积与近阈值原子比例,共同采样且四曲线逐位共享
加热参考温度 Tref,15 µK（显式独立配置）,同左,同左,同左,continuous_fig6d_unified_T15.yaml:8 + cli.py:93-98,否（本次）；历史上 Tref=T 隐式绑定（v10 扫描）；600µs 曾单独扫 Tref 15–100 µK（诊断）,A（600µs 的 Tref 扫描为逐曲线拟合尝试，已披露未采用）+本次独立配置项,参量通道功率=kB·Tref×Γ_par（Γ_par=31.96/s），Tref=15 时占总加热功率 98.8%,固定 15 µK 并在配置上与 T0 分离
RIN PSD,1e-8 /Hz,同左,同左,同左,configs/level2c_pickup_survival.yaml:86 + noise_heating.py:62,否,D（assumed_sensitivity_only 未标定）,直接线性缩放主导加热通道,共同沿用不调
指向噪声 PSD,1e-24 m²/Hz（1 pm/√Hz）,同左,同左,同左,level2c_pickup_survival.yaml:88 + noise_heating.py:72,否,D（assumed）,贡献 5.24 µK/s（约 1.1%）,共同沿用
反冲散射率,4.23 /s（1055+1061 nm 两路求和）,同左,同左,同左,level2c_pickup_survival.yaml:83,否,论文两能级近似推导（配置注释）,贡献 0.55 µK/s（约 0.1%）,共同沿用
总加热功率,485.63 µK/s（四曲线逐位相同）,同左,同左,同左,运行元数据 heating_power_uK_per_s（已验证一致）,否（功率相同；每轮注入能量因时长不同而不同＝自然动力学差异）,模型：常数平均功率确定性注入（无随机性）,每轮注入 0.243/0.437/0.631/0.437 µK；30 轮共 7.3/13.1/18.9/13.1 µK,如实记录不在波形间分别调
SLM 名义阱深/位点分布,140 µK ×N(1,11.4%),同左,同左,同左,level2c_pickup_survival.yaml:10,116 + survival_engine.py:104,否,论文 Methods（140 µK）+Ext.Data Fig.2d 实测（11.4%）;实测因子范围 0.613–1.408,浅位点决定近阈值丢失,四曲线共享同一位点抽样（CRN 验证）
AOD 名义阱深/位点分布,280 µK ×N(1,2%),同左,同左,同左,level2c_pickup_survival.yaml:15,118,否,论文 Methods/Fig.6（280 µK）；2% 为 assumed,pickup 段束缚判据的阱深,共同
SLM/AOD 束腰,1.17 µm；AOD 束腰 ×N(1,2%),同左,同左,同左,level2c_pickup_survival.yaml:11,17,119,否,SLM 束腰论文 1061 nm 实测；AOD 束腰 assumed_matched_to_slm_back_aperture（C 类：待核实）,阱频与俘获半径,共同
静态对准偏差,σ=0.05 µm（assumed）,同左,同左,同左,level2c_pickup_survival.yaml:114,否,C（assumed，未标定）,降低 pickup/dropoff 交接有效阱深,共同
逐程对准抖动,σ=0.01 µm；6 条独立流按原始 shot ID 索引,同左,同左,同左,level2c_pickup_survival.yaml:118 + engine.py:151-154,否,C（assumed）,逐往返随机失配；四曲线共享相同样本（CRN）,共同且共享
声透镜速度 v_s,0.5391689 m/s（matched 臂开启）,同左,同左,同左,continuous_fig6d_unified_T15.yaml:22,否,C（Level 3 severity=1 情景值，非器件标定；元数据显式标注）,扫描束焦移引起的轴向势劈裂；对快波形影响更大（200µs 5µK 末点 0.467→0.27）,共同沿用并保留非标定标注
深度补偿,无,无,无,无,Level 3 depth_compensation 为探索性功能未进入连续协议,否,未启用,无,如审计记录
波形类型,pickup_sequential 200µs,同 400µs,同 600µs,ML 数字化回放 400µs,preflight2c.py:27 + protocol.py:31-44,是（波形与时长即实验比较变量）,B（论文协议变量：手工 0.2/0.4/0.6 ms；ML 0.4 ms）,唯一有意的逐曲线物理差异,保留
手工波形结构,前 48% 二次升深+后 52% constant-jerk 移动 2.4µm,同左（时长不同）,同左,不适用,configs + waveforms.py:341 + 论文 Methods,是（时长）,B（论文 Methods 原文结构）,决定绝热性与激发,保留论文结构
ML 波形输入,不适用,不适用,不适用,fig6c 数字化 15 控制点（14 点+终点）not-a-knot 三次样条;端点 0.004→2.4001 µm、0→0.28 mK 原值保留,outputs/.../fig6c_ml_trajectory_digitized.json + protocol.py:40-44,是（仅 ML 有）,B（论文 Fig.6c 轨迹）；端点 0.4%/0.17% 数字化偏差按原始值保留不修正（C 类待核实项如实披露）,ML 曲线的激发谱,保留数字化原值
波形缩放/时间偏移,无,无,无,无,protocol.py（无任何缩放偏移代码路径）,否,E,无,无
dropoff 定义,pickup 精确时间反演（链式法则取负导数）,同左,同左,同左,protocol.py:57-59,否,B/E,往返对称性,保留
等待时间与 SLM 开关,100µs 等待期间 SLM 关闭再重开,同左,同左,同左,protocol.py:72-73 + 论文 Fig.6 caption,否,B（论文协议）,等待段清除残余原子,保留
失阱阈值与判定时刻,pickup 段末 AOD 单阱 E<0；dropoff 段末 SLM 单阱 E<0；等待段不判定；E≥0 或非有限即死,同左,同左,同左,engine.py:117-129（judge 1/2）,否,共同判据（阈值 0 J；near-threshold 无额外宽容）,丢失计数口径,共同
再俘获/清除规则,吸收式：死亡即出池不重抽不回热池,同左,同左,同左,engine.py:126-129,否,共同（与论文重复转移语义一致）,存活曲线单调性,共同
真空/技术损失/额外存活概率,无此类项,无,无,无,引擎无对应代码,否,D（未建模＝假设为 0；实验或含真空及装载后损失）,60 单程总时长 15–39 ms，若真空寿命~10 s 影响≲0.4%,列为模型缺口不虚构
