requirement_id,implementation,numeric,paper_match,independent_review,evidence,note
B0,done,ok,n/a(基线回归),SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/preflight.json,初态束缚=0 确认；600μs 历史偏差 7.28pp 原样保留（未解决，未改写）
M1,done,ok,n/a(基础设施),SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/preflight.json,账本/键控随机流自检通过；24 项单元测试覆盖
R1,done,ran,structural_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/scan_rb2022.json,C1=True slope=-4.338334681716283 anchor=1.0
R2,done,ran,structural_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/scan_rb2022.json,platform=0.9738(paper raw 0.948) DD on/off=0.9704/0.9508
R3,done,ran,qualitative_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/validation_rb2022.json,"raw=0.545(paper 0.71, gap 0.165) cond=0.769(paper 0.991) accept=0.673(paper 0.66)"
Y1,done,ran,structural_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal_yb/scan_yb2026.json,C1=True C2=True C3=True
Y2,done,ran,anchor_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal_yb/validation_yb2026.json,optimal/trip=8.88e-04(bound 6e-4)
Y3,done,ran,anchor_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal_yb/validation_yb2026.json,RT1=0.0127(paper 0.011) frac RT1/RT5=0.56/0.07(paper 0.5/0.1)
Y4,done,ran,anchor_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal_yb/validation_yb2026.json,slope AR/TO=4.00/2.00 erasure AR=0.38(paper 0.38)
Y5,done,ran,ordering_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal_yb/validation_yb2026.json,prep raw/flag/ps=0.947/0.958/0.948(paper 0.981/0.990/0.995); storage t=0 uncond/informed=0.947/0.965(paper 0.874/0.902)
Y6,done,ran,ordering_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal_yb/validation_yb2026.json,adaptive/random/ps=0.912/0.894/0.929(paper 0.802/0.771/0.87); 水平差 ~+0.110（见报告归因）
I1,done,ran,n/a(接通)_pass,SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/integration.json,yb=True rb=True
V1,done,ok,n/a(验收),SELF_CHECKED,/Users/imok/work/Monte Carlo/monte-carlo-for-aodslm/simulation/level2_joint_transfer/outputs/paper_integration/run_formal/verification_matrix.csv,本文件与 verify_paper_integration.py 输出
