requirement_id,scope,paper,paper_location,target_observable,module,test_ids,run_command,key_param_sources,reference_anchor,match_criterion,failure_criterion,method
B0,core,C(仓库现有),v10 报告 + run_20260915 归档,Cs 基线回归：既有偏差仍被如实报告；初态束缚检查,paper_integration.runs (b0),test_b0,python -m paper_integration.cli run --stage preflight,cs_existing(全部既有),v10：600μs 最大偏差 7.28pp（未通过 ±0.02）,初态束缚=0；历史偏差原样保留,束缚检查失败或历史偏差被改写,既有引擎回归读取
M1,core,-,-,trial/atom 状态连续性、事件账本、键控随机流,paper_integration.events/dynamics3d,"test_m1_ledger,test_m1_rng",python -m paper_integration.cli run --stage preflight,-,不适用（基础设施）,删除死原子不改变他人噪声；真事件/检测分离,随机流随数组重排改变,基础设施
R1,core,R=Bluvstein2022,图1/ED2/Methods 等式(2),存活率与 ΔN vs 运输时长；解析 T^-4 标度,paper_integration.rb_transport,test_r1,python -m paper_integration.cli run paper-rb2022 --stage scan,rb87_2022_native(paper_measured 为主),"110μm/300μs 高存活；Nmax∈[26,33]",C1 长T存活→1；C2 标度−4±0.6；C3 锚点存活>0.95,任一结构判据失败,直接三维动力学
R2,core,R,图1d,Bell 运输保真度/ZZ/宇称振荡 vs 速度,paper_integration.rb_entangled,test_r2,python -m paper_integration.cli run paper-rb2022 --stage scan,"c_phi=calibrated_on_training(110μm/300μs,94.8%)",raw Bell 94.8(2)%；<0.55μm/μs 平台,C1 平台波动<2pp；C2 快速下降；C3 DD 开>关,平台不存在或无快速下降,经典动力学+Pauli 轨迹
R3,core,R,图3/ED 线路MC,Steane |+̄⟩ raw/条件 ⟨X̄⟩/接受率,paper_integration.rb_circuit,test_r3,python -m paper_integration.cli run paper-rb2022 --stage validation,层误差 0.2/0.2/0.5/0.5%(paper_measured)；线路深度(assumed),0.71 / 0.991 / 66%,raw<0.9 且条件>raw 且接受率>0.4；差距如实报告,结构关系颠倒,批量态矢量 MC
Y1,core,Y=Zhang2026,ED Fig.2b/Methods §II,存活率 vs 移动时长；zero/min-jerk；含/不含透镜,paper_integration.yb_transport,test_y1,python -m paper_integration.cli run paper-yb2026 --stage scan,"yb171_2026_native；τ_eff=assumed(扫描{0,2,4,8})",ED2b 曲线未数字化（Zenodo 未获取）→结构判据,C1 透镜限制快速运输；C2 含透镜 ZJ≥MJ；C3 无透镜近似,任一判据在绝热窗口内失败,直接三维动力学+透镜
Y2,core,Y,图1e/ED4/Methods §II.C,三配置每单程失相干+翻转；Ramsey 对比度衰减,paper_integration.yb_vls,test_y2,python -m paper_integration.cli run paper-yb2026 --stage validation,κ=7mrad/nm(paper)；几何因子 optimal=paper_derived,optimal<6e-4/单程；parallel 57Hz 强衰减,optimal≤1.5×上界；排序 static≤optimal≤parallel,排序破坏或超界,半解析 MC
Y3,core,Y,图2/ED3,RT1 损失与擦除占比、RT5 占比、混淆矩阵,paper_integration.yb_leakage,test_y3,python -m paper_integration.cli run paper-yb2026 --stage validation,"散射 0.3%/RT、r_e,l=0.72、FP/FN=1.4%(paper)；瞬态拆分(paper_derived)",RT1 1.1(4)%、~50% 可擦除；RT5 ~10%,RT1 总量±0.5pp 内；占比 0.4-0.7；随 RT 下降,占比不降或 RT1 超 2×论文值,泊松通道+能量阈值
Y4,core,Y,图1c/ED6,AR/TO 误差 vs ΔI/I 指数；误差构成,paper_integration.yb_gate,test_y4,python -m paper_integration.cli run paper-yb2026 --stage validation,ϵ0(paper)；指数 4/2(paper)；C_TO/C_AR(assumed),AR 擦除占比 38%；TO 丢失占比 75%,拟合指数 4±0.6/2±0.6；构成 ±5pp,指数偏差>1,有效门通道 MC
Y5,core,Y,图2/图3,制备三口径；存储三口径解码,paper_integration.yb_code,test_y5,python -m paper_integration.cli run paper-yb2026 --stage validation,门误差/擦除/SPAM(paper)；线路深度(assumed 结构),制备 0.981/0.990/0.995；解码 0.874/0.902,三口径排序正确且量级(±5pp)——论文时间轴未公开则报告差距,排序颠倒或偏差>10pp,批量态矢量 MC
Y6,core,Y,图4,逻辑传送成功：随机/自适应/后选；时延,paper_integration.yb_code.teleportation,test_y6,python -m paper_integration.cli run paper-yb2026 --stage validation,同 Y5+运输 0.55%/单程(paper_derived),0.771 / 0.802 / 0.87,自适应>随机(≥1pp) 且后选最高；差距如实报告,自适应≤随机,批量态矢量 MC+反馈
I1,core,R+Y,-,τ_eff/运输速度扰动传播到逻辑观测量,paper_integration.integration,test_i1,python -m paper_integration.cli run --stage integration,耦合系数(assumed，登记),不适用（接通性检查）,扰动逐级传播（move→RT→逻辑 全部移动）,任一环节不响应,链路重算
V1,core,全部,-,合同核对、复算入口、requirements_status,tools/verify_paper_integration.py,-,python tools/verify_paper_integration.py --contract <dir> --run-dir <dir>,-,不适用（验收基础设施）,逐 ID 状态与证据路径完整,缺证据或状态未登记,验收工具
