parameter,before,manual_200us,manual_400us,manual_600us,ml_400us,unit,shared,source,adjustment,range_basis,effect,degeneracy
T0 harmonic proposal,15,19,19,19,19,uK,True,物理工作域内未测标定量,联合调整,4.3–28；微波阶段温度锚点与T<=U/5工作域，非实验置信区间,全部四组初态,热尾/实际制备、RIN、腰
SLM/AOD nominal waist,1.17,1.11,1.11,1.11,1.11,um,True,SLM论文测量1.17(6)；AOD匹配入瞳假设,共同束腰联合调整,1.11–1.23；采用报告括号不确定范围，未拟合独立AOD腰,阱频、机械激发、噪声耦合,T0、RIN、像差
AOD RIN PSD,1e-08,5.75e-09,5.75e-09,5.75e-09,5.75e-09,1/Hz,True,弱白噪声有效模型，尚未装置测量,联合调整,0–1e-8；0–100kHz积分rms<=3.2%弱扰动工作域,能量相关扩散及长时累积损失,谱形、T0、腰
SLM RIN PSD,1e-08,0,0,0,0,1/Hz,True,论文132s静态寿命约束；短时安静近似,结构修正，非拟合,固定0；另1e-12敏感性,移除与独立静态寿命矛盾的强加热,噪声是否仅操作期间出现
Tref,15,不使用,不使用,不使用,不使用,uK,True,旧线性化单模参考能量,在物理扩散模型中删除,只在历史/系数修正对照保留15,避免独立加热旋钮,旧固定功率与初温退化
Heating reference frequency,36007,不使用固定频率,不使用固定频率,不使用固定频率,不使用固定频率,Hz,True,原配置显式采用标称AOD径向解析频率,局部力自动确定响应,旧固定功率仍用36007；新模型不再整段套同一个谐振频率,方向、深度、阶段加热差异,RIN与束腰
Constant total heating,485.631567,不使用固定功率,不使用固定功率,不使用固定功率,不使用固定功率,kB*uK/s,True,旧单模参量+指向+固定反冲功率,由局部力扩散替代,历史值保留，修正系数对照的精确值见运行JSON,累计平均能量和逃逸尾,Tref
Recoil scattering,4.23,随局部强度计算,随局部强度计算,随局部强度计算,随局部强度计算,1/s,True,旧SLM+AOD两能级估计；非直接测量,改为局部反冲扩散,新模型采用Cs D2两能级近似，另关闭对照,小幅加性注能,两能级近似、散射各向异性
SLM depth,140,140,140,140,140,uK,True,论文Fig6 Methods直接报告,固定,未报告可信校准误差，未擅自拟合,初阱及放下束缚能,T0、腰
AOD target depth,280,280,280,280,280,uK,True,论文Fig6 Methods直接报告,固定,ML矢量回放终点按论文280；原回放280.5167另存,拾取及等待束缚能,腰、噪声
Transport distance,2.4,2.4,2.4,2.4,2.4,um,True,论文直接报告,固定,ML原始4nm偏置修正来自PDF控制点，非存活拟合,机械激发,波形端点
Wait,100,100,100,100,100,us,True,论文直接报告,固定,100 us；具体SLM关断边沿未报告,暴露时间及残留清除,切换边沿
SLM wavelength,1061,1061,1061,1061,1061,nm,True,论文直接报告,固定,Gaussian Rayleigh range,轴向束缚,光学像差
AOD wavelength,1055,1055,1055,1055,1055,nm,True,论文直接报告,固定,Gaussian Rayleigh range,轴向束缚,光学像差
Cs mass,132.90545196,132.90545196,132.90545196,132.90545196,132.90545196,u,True,原配置Cs-133质量,固定,不移植Rb/Yb,动力学,无
SLM depth relative sigma,0.114,0.114,0.114,0.114,0.114,fraction,True,论文全阵列实测；子阵列未单独给出,固定,未逐组调散布,位点频率/阱深分布,初温
AOD depth relative sigma,0.02,0.02,0.02,0.02,0.02,fraction,True,无装置测量假设,不拟合,零散布对照；无可用测量范围,静态位点差异,标定、腰
AOD waist relative sigma,0.02,0.02,0.02,0.02,0.02,fraction,True,无装置测量假设,不拟合,零散布对照,静态位点差异,标定、腰
Alignment sigma,50,50.0,50.0,50.0,50.0,nm,True,无装置测量假设,不拟合,固定及关闭敏感性,交接误差,位置标定
Segment alignment jitter sigma,10,10.0,10.0,10.0,10.0,nm,True,无带宽依据的原模型假设,不拟合,固定及关闭敏感性；不等同连续PSD,势阱段边沿跳变,指向PSD
AOD pointing PSD,1e-24,1e-24,1e-24,1e-24,1e-24,m²/Hz,True,原安静光路敏感性假设,不拟合,固定与关闭对照；只沿运输x轴,加性力扩散,段间抖动
SLM pointing PSD,1e-24,0,0,0,0,m²/Hz,True,短时安静近似,结构修正，非拟合,0；另1e-26敏感性,静态加热,静态寿命
